Total_Demand_KW,year,month,dayofweek,hour
1271,2019,11,0,7
1274,2019,11,0,7
1278,2019,11,0,7
1267,2019,11,0,7
1251,2019,11,0,6
1271,2019,11,0,6
1290,2019,11,0,6
1117,2019,11,0,6
990,2019,11,0,5
986,2019,11,0,5
990,2019,11,0,5
986,2019,11,0,5
1009,2019,11,0,4
986,2019,11,0,4
990,2019,11,0,4
990,2019,11,0,4
986,2019,11,0,3
990,2019,11,0,3
994,2019,11,0,3
998,2019,11,0,3
998,2019,11,0,2
1009,2019,11,0,2
1002,2019,11,0,2
998,2019,11,0,2
994,2019,11,0,1
1006,2019,11,0,1
998,2019,11,0,1
1006,2019,11,0,1
983,2019,11,0,0
1002,2019,11,0,0
1009,2019,11,0,0
1006,2019,11,0,0
998,2019,11,6,23
998,2019,11,6,23
1009,2019,11,6,23
1006,2019,11,6,23
1002,2019,11,6,22
998,2019,11,6,22
1002,2019,11,6,22
990,2019,11,6,22
998,2019,11,6,21
994,2019,11,6,21
1086,2019,11,6,21
1274,2019,11,6,21
1259,2019,11,6,20
1267,2019,11,6,20
1274,2019,11,6,20
1255,2019,11,6,20
1259,2019,11,6,19
1267,2019,11,6,19
1263,2019,11,6,19
1255,2019,11,6,19
1263,2019,11,6,18
1259,2019,11,6,18
1263,2019,11,6,18
1263,2019,11,6,18
1274,2019,11,6,17
1271,2019,11,6,17
1271,2019,11,6,17
1267,2019,11,6,17
1278,2019,11,6,16
1274,2019,11,6,16
1282,2019,11,6,16
1274,2019,11,6,16
1267,2019,11,6,15
1274,2019,11,6,15
1271,2019,11,6,15
1278,2019,11,6,15
1274,2019,11,6,14
1267,2019,11,6,14
1263,2019,11,6,14
1263,2019,11,6,14
1274,2019,11,6,13
1278,2019,11,6,13
1267,2019,11,6,13
1267,2019,11,6,13
1278,2019,11,6,12
1282,2019,11,6,12
1286,2019,11,6,12
1267,2019,11,6,12
1267,2019,11,6,11
1286,2019,11,6,11
1278,2019,11,6,11
1274,2019,11,6,11
1278,2019,11,6,10
1278,2019,11,6,10
1274,2019,11,6,10
1274,2019,11,6,10
1278,2019,11,6,9
1278,2019,11,6,9
1278,2019,11,6,9
1290,2019,11,6,9
1271,2019,11,6,8
1278,2019,11,6,8
1282,2019,11,6,8
1286,2019,11,6,8
1267,2019,11,6,7
1278,2019,11,6,7
1290,2019,11,6,7
1274,2019,11,6,7
1274,2019,11,6,6
1297,2019,11,6,6
1324,2019,11,6,6
1136,2019,11,6,6
1002,2019,11,6,5
1006,2019,11,6,5
998,2019,11,6,5
990,2019,11,6,5
998,2019,11,6,4
1006,2019,11,6,4
998,2019,11,6,4
998,2019,11,6,4
998,2019,11,6,3
994,2019,11,6,3
994,2019,11,6,3
1002,2019,11,6,3
1006,2019,11,6,2
1009,2019,11,6,2
1009,2019,11,6,2
998,2019,11,6,2
1009,2019,11,6,1
1006,2019,11,6,1
1017,2019,11,6,1
1021,2019,11,6,1
1017,2019,11,6,0
1006,2019,11,6,0
1029,2019,11,6,0
1002,2019,11,6,0
1002,2019,11,5,23
1017,2019,11,5,23
1009,2019,11,5,23
1017,2019,11,5,23
990,2019,11,5,22
1013,2019,11,5,22
1025,2019,11,5,22
1017,2019,11,5,22
1017,2019,11,5,21
1025,2019,11,5,21
1105,2019,11,5,21
1294,2019,11,5,21
1286,2019,11,5,20
1274,2019,11,5,20
1286,2019,11,5,20
1290,2019,11,5,20
1290,2019,11,5,19
1305,2019,11,5,19
1286,2019,11,5,19
1286,2019,11,5,19
1290,2019,11,5,18
1301,2019,11,5,18
1297,2019,11,5,18
1286,2019,11,5,18
1294,2019,11,5,17
1301,2019,11,5,17
1290,2019,11,5,17
1297,2019,11,5,17
1294,2019,11,5,16
1301,2019,11,5,16
1301,2019,11,5,16
1294,2019,11,5,16
1294,2019,11,5,15
1297,2019,11,5,15
1313,2019,11,5,15
1297,2019,11,5,15
1294,2019,11,5,14
1294,2019,11,5,14
1309,2019,11,5,14
1305,2019,11,5,14
1305,2019,11,5,13
1301,2019,11,5,13
1305,2019,11,5,13
1305,2019,11,5,13
1320,2019,11,5,12
1324,2019,11,5,12
1332,2019,11,5,12
1332,2019,11,5,12
1313,2019,11,5,11
1313,2019,11,5,11
1313,2019,11,5,11
1317,2019,11,5,11
1313,2019,11,5,10
1305,2019,11,5,10
1301,2019,11,5,10
1290,2019,11,5,10
1297,2019,11,5,9
1301,2019,11,5,9
1297,2019,11,5,9
1324,2019,11,5,9
1344,2019,11,5,8
1336,2019,11,5,8
1328,2019,11,5,8
1313,2019,11,5,8
1297,2019,11,5,7
1294,2019,11,5,7
1309,2019,11,5,7
1301,2019,11,5,7
1309,2019,11,5,6
1317,2019,11,5,6
1359,2019,11,5,6
1178,2019,11,5,6
1052,2019,11,5,5
1048,2019,11,5,5
1052,2019,11,5,5
1032,2019,11,5,5
1032,2019,11,5,4
1029,2019,11,5,4
1032,2019,11,5,4
1048,2019,11,5,4
1052,2019,11,5,3
1040,2019,11,5,3
1048,2019,11,5,3
1067,2019,11,5,3
1059,2019,11,5,2
1071,2019,11,5,2
1044,2019,11,5,2
1029,2019,11,5,2
1021,2019,11,5,1
1032,2019,11,5,1
1036,2019,11,5,1
1036,2019,11,5,1
1032,2019,11,5,0
1029,2019,11,5,0
1052,2019,11,5,0
1059,2019,11,5,0
1071,2019,11,4,23
1063,2019,11,4,23
1071,2019,11,4,23
1052,2019,11,4,23
1067,2019,11,4,22
1044,2019,11,4,22
1040,2019,11,4,22
1048,2019,11,4,22
1044,2019,11,4,21
1056,2019,11,4,21
1140,2019,11,4,21
1340,2019,11,4,21
1336,2019,11,4,20
1359,2019,11,4,20
1359,2019,11,4,20
1378,2019,11,4,20
1397,2019,11,4,19
1405,2019,11,4,19
1401,2019,11,4,19
1413,2019,11,4,19
1409,2019,11,4,18
1440,2019,11,4,18
1451,2019,11,4,18
1447,2019,11,4,18
1459,2019,11,4,17
1463,2019,11,4,17
1501,2019,11,4,17
1520,2019,11,4,17
1551,2019,11,4,16
1574,2019,11,4,16
1593,2019,11,4,16
1608,2019,11,4,16
1639,2019,11,4,15
1632,2019,11,4,15
1620,2019,11,4,15
1628,2019,11,4,15
1655,2019,11,4,14
1635,2019,11,4,14
1651,2019,11,4,14
1651,2019,11,4,14
1643,2019,11,4,13
1639,2019,11,4,13
1647,2019,11,4,13
1647,2019,11,4,13
1647,2019,11,4,12
1639,2019,11,4,12
1662,2019,11,4,12
1662,2019,11,4,12
1662,2019,11,4,11
1647,2019,11,4,11
1643,2019,11,4,11
1658,2019,11,4,11
1647,2019,11,4,10
1639,2019,11,4,10
1639,2019,11,4,10
1639,2019,11,4,10
1605,2019,11,4,9
1605,2019,11,4,9
1566,2019,11,4,9
1516,2019,11,4,9
1489,2019,11,4,8
1478,2019,11,4,8
1436,2019,11,4,8
1397,2019,11,4,8
1382,2019,11,4,7
1370,2019,11,4,7
1363,2019,11,4,7
1336,2019,11,4,7
1332,2019,11,4,6
1324,2019,11,4,6
1344,2019,11,4,6
1175,2019,11,4,6
1059,2019,11,4,5
1013,2019,11,4,5
1029,2019,11,4,5
1025,2019,11,4,5
1017,2019,11,4,4
1021,2019,11,4,4
1009,2019,11,4,4
1017,2019,11,4,4
1017,2019,11,4,3
998,2019,11,4,3
1009,2019,11,4,3
1017,2019,11,4,3
1013,2019,11,4,2
1025,2019,11,4,2
1013,2019,11,4,2
1013,2019,11,4,2
1009,2019,11,4,1
1002,2019,11,4,1
1013,2019,11,4,1
1006,2019,11,4,1
1017,2019,11,4,0
1021,2019,11,4,0
1009,2019,11,4,0
1063,2019,11,4,0
1044,2019,11,3,23
1052,2019,11,3,23
1056,2019,11,3,23
1052,2019,11,3,23
1067,2019,11,3,22
1048,2019,11,3,22
1048,2019,11,3,22
1048,2019,11,3,22
1067,2019,11,3,21
1063,2019,11,3,21
1121,2019,11,3,21
1297,2019,11,3,21
1290,2019,11,3,20
1313,2019,11,3,20
1313,2019,11,3,20
1328,2019,11,3,20
1351,2019,11,3,19
1340,2019,11,3,19
1363,2019,11,3,19
1367,2019,11,3,19
1370,2019,11,3,18
1370,2019,11,3,18
1397,2019,11,3,18
1393,2019,11,3,18
1420,2019,11,3,17
1424,2019,11,3,17
1459,2019,11,3,17
1501,2019,11,3,17
1512,2019,11,3,16
1520,2019,11,3,16
1536,2019,11,3,16
1555,2019,11,3,16
1566,2019,11,3,15
1543,2019,11,3,15
1551,2019,11,3,15
1570,2019,11,3,15
1574,2019,11,3,14
1578,2019,11,3,14
1593,2019,11,3,14
1605,2019,11,3,14
1597,2019,11,3,13
1597,2019,11,3,13
1612,2019,11,3,13
1601,2019,11,3,13
1612,2019,11,3,12
1620,2019,11,3,12
1639,2019,11,3,12
1616,2019,11,3,12
1632,2019,11,3,11
1612,2019,11,3,11
